,header_version,scan_name,scan_time,temperature_system,temperature_detector,humidity,pga,wavelength,intensity,reference,valid_length
101,1,cfg8,2024210232237,33.28,32.29,56.87,2,1299.046654,206,47511,220
102,1,cfg8,2024210232237,33.28,32.29,56.87,2,1302.51295,213,47985,220
103,1,cfg8,2024210232237,33.28,32.29,56.87,2,1305.974895,202,48433,220
104,1,cfg8,2024210232237,33.28,32.29,56.87,2,1309.43249,200,48904,220
105,1,cfg8,2024210232237,33.28,32.29,56.87,2,1314.03585,210,49358,220
106,1,cfg8,2024210232237,33.28,32.29,56.87,2,1317.483294,211,49574,220
107,1,cfg8,2024210232237,33.28,32.29,56.87,2,1320.926389,219,49820,220
108,1,cfg8,2024210232237,33.28,32.29,56.87,2,1324.365133,204,50087,220
109,1,cfg8,2024210232237,33.28,32.29,56.87,2,1327.799527,210,50314,220
110,1,cfg8,2024210232237,33.28,32.29,56.87,2,1332.371952,208,50453,220
111,1,cfg8,2024210232237,33.28,32.29,56.87,2,1335.796195,213,50523,220
112,1,cfg8,2024210232237,33.28,32.29,56.87,2,1339.216089,231,50616,220
113,1,cfg8,2024210232237,33.28,32.29,56.87,2,1342.631632,223,50675,220
114,1,cfg8,2024210232237,33.28,32.29,56.87,2,1346.042825,209,50550,220
115,1,cfg8,2024210232237,33.28,32.29,56.87,2,1350.584315,214,50233,220
116,1,cfg8,2024210232237,33.28,32.29,56.87,2,1353.985357,224,49951,220
117,1,cfg8,2024210232237,33.28,32.29,56.87,2,1357.382049,210,49600,220
118,1,cfg8,2024210232237,33.28,32.29,56.87,2,1360.774391,210,49228,220
119,1,cfg8,2024210232237,33.28,32.29,56.87,2,1364.162383,213,48959,220
120,1,cfg8,2024210232237,33.28,32.29,56.87,2,1368.672938,211,48688,220
121,1,cfg8,2024210232237,33.28,32.29,56.87,2,1372.05078,209,48473,220
122,1,cfg8,2024210232237,33.28,32.29,56.87,2,1375.424271,219,48195,220
123,1,cfg8,2024210232237,33.28,32.29,56.87,2,1378.793412,200,47949,220
124,1,cfg8,2024210232237,33.28,32.29,56.87,2,1382.158202,227,47707,220
125,1,cfg8,2024210232237,33.28,32.29,56.87,2,1386.637823,205,47414,220
126,1,cfg8,2024210232237,33.28,32.29,56.87,2,1389.992463,211,47211,220
127,1,cfg8,2024210232237,33.28,32.29,56.87,2,1393.342753,219,47009,220
128,1,cfg8,2024210232237,33.28,32.29,56.87,2,1396.688693,202,46818,220
129,1,cfg8,2024210232237,33.28,32.29,56.87,2,1400.030282,212,46680,220
130,1,cfg8,2024210232237,33.28,32.29,56.87,2,1404.478968,208,46488,220
131,1,cfg8,2024210232237,33.28,32.29,56.87,2,1407.810407,194,46137,220
132,1,cfg8,2024210232237,33.28,32.29,56.87,2,1411.137496,197,45591,220
133,1,cfg8,2024210232237,33.28,32.29,56.87,2,1414.460235,194,45159,220
134,1,cfg8,2024210232237,33.28,32.29,56.87,2,1417.778623,210,44998,220
135,1,cfg8,2024210232237,33.28,32.29,56.87,2,1422.196374,205,45168,220
136,1,cfg8,2024210232237,33.28,32.29,56.87,2,1425.504612,185,45144,220
137,1,cfg8,2024210232237,33.28,32.29,56.87,2,1428.8085,197,44981,220
138,1,cfg8,2024210232237,33.28,32.29,56.87,2,1432.108037,208,44830,220
139,1,cfg8,2024210232237,33.28,32.29,56.87,2,1435.403225,194,44702,220
140,1,cfg8,2024210232237,33.28,32.29,56.87,2,1439.790041,187,44575,220
141,1,cfg8,2024210232237,33.28,32.29,56.87,2,1443.075078,200,44425,220
142,1,cfg8,2024210232237,33.28,32.29,56.87,2,1446.355765,199,44269,220
143,1,cfg8,2024210232237,33.28,32.29,56.87,2,1449.632101,184,44135,220
144,1,cfg8,2024210232237,33.28,32.29,56.87,2,1452.904087,194,43987,220
145,1,cfg8,2024210232237,33.28,32.29,56.87,2,1456.171723,190,43796,220
146,1,cfg8,2024210232237,33.28,32.29,56.87,2,1460.521805,206,43526,220
147,1,cfg8,2024210232237,33.28,32.29,56.87,2,1463.77929,186,43277,220
148,1,cfg8,2024210232237,33.28,32.29,56.87,2,1467.032425,200,43004,220
149,1,cfg8,2024210232237,33.28,32.29,56.87,2,1470.281211,208,42770,220
150,1,cfg8,2024210232237,33.28,32.29,56.87,2,1473.525646,190,42571,220
151,1,cfg8,2024210232237,33.28,32.29,56.87,2,1477.844792,180,42304,220
152,1,cfg8,2024210232237,33.28,32.29,56.87,2,1481.079076,186,42117,220
153,1,cfg8,2024210232237,33.28,32.29,56.87,2,1484.309011,180,41922,220
154,1,cfg8,2024210232237,33.28,32.29,56.87,2,1487.534595,165,41668,220
155,1,cfg8,2024210232237,33.28,32.29,56.87,2,1490.755829,162,41399,220
156,1,cfg8,2024210232237,33.28,32.29,56.87,2,1495.04404,173,41130,220
157,1,cfg8,2024210232237,33.28,32.29,56.87,2,1498.255124,170,40945,220
158,1,cfg8,2024210232237,33.28,32.29,56.87,2,1501.461857,176,40745,220
159,1,cfg8,2024210232237,33.28,32.29,56.87,2,1504.66424,170,40532,220
160,1,cfg8,2024210232237,33.28,32.29,56.87,2,1507.862273,167,40293,220
161,1,cfg8,2024210232237,33.28,32.29,56.87,2,1512.119549,178,39969,220
162,1,cfg8,2024210232237,33.28,32.29,56.87,2,1515.307432,163,39718,220
163,1,cfg8,2024210232237,33.28,32.29,56.87,2,1518.490964,187,39431,220
164,1,cfg8,2024210232237,33.28,32.29,56.87,2,1521.670145,171,39092,220
165,1,cfg8,2024210232237,33.28,32.29,56.87,2,1524.844977,181,38693,220
166,1,cfg8,2024210232237,33.28,32.29,56.87,2,1529.071319,166,38180,220
167,1,cfg8,2024210232237,33.28,32.29,56.87,2,1532.236,169,37811,220
168,1,cfg8,2024210232237,33.28,32.29,56.87,2,1535.396331,151,37421,220
169,1,cfg8,2024210232237,33.28,32.29,56.87,2,1538.552312,162,36959,220
170,1,cfg8,2024210232237,33.28,32.29,56.87,2,1541.703943,169,36500,220
171,1,cfg8,2024210232237,33.28,32.29,56.87,2,1545.89935,158,35948,220
172,1,cfg8,2024210232237,33.28,32.29,56.87,2,1549.04083,147,35524,220
173,1,cfg8,2024210232237,33.28,32.29,56.87,2,1552.17796,138,35037,220
174,1,cfg8,2024210232237,33.28,32.29,56.87,2,1555.310739,151,34551,220
175,1,cfg8,2024210232237,33.28,32.29,56.87,2,1558.439169,152,34090,220
176,1,cfg8,2024210232237,33.28,32.29,56.87,2,1562.603641,148,33415,220
177,1,cfg8,2024210232237,33.28,32.29,56.87,2,1565.72192,151,32891,220
178,1,cfg8,2024210232237,33.28,32.29,56.87,2,1568.835849,127,32375,220
179,1,cfg8,2024210232237,33.28,32.29,56.87,2,1571.945428,131,31854,220
180,1,cfg8,2024210232237,33.28,32.29,56.87,2,1575.050656,138,31321,220
181,1,cfg8,2024210232237,33.28,32.29,56.87,2,1579.184194,141,30571,220
182,1,cfg8,2024210232237,33.28,32.29,56.87,2,1582.279271,129,30036,220
183,1,cfg8,2024210232237,33.28,32.29,56.87,2,1585.369999,127,29485,220
184,1,cfg8,2024210232237,33.28,32.29,56.87,2,1588.456377,102,28921,220
185,1,cfg8,2024210232237,33.28,32.29,56.87,2,1591.538404,104,28368,220
186,1,cfg8,2024210232237,33.28,32.29,56.87,2,1594.616081,108,27862,220
187,1,cfg8,2024210232237,33.28,32.29,56.87,2,1598.712883,105,27179,220
188,1,cfg8,2024210232237,33.28,32.29,56.87,2,1601.78041,121,26606,220
189,1,cfg8,2024210232237,33.28,32.29,56.87,2,1604.843586,98,26056,220
190,1,cfg8,2024210232237,33.28,32.29,56.87,2,1607.902413,122,25548,220
191,1,cfg8,2024210232237,33.28,32.29,56.87,2,1610.956889,89,25010,220
192,1,cfg8,2024210232237,33.28,32.29,56.87,2,1615.022756,115,24252,220
193,1,cfg8,2024210232237,33.28,32.29,56.87,2,1618.067082,98,23694,220
194,1,cfg8,2024210232237,33.28,32.29,56.87,2,1621.107057,87,23156,220
195,1,cfg8,2024210232237,33.28,32.29,56.87,2,1624.142682,84,22631,220
196,1,cfg8,2024210232237,33.28,32.29,56.87,2,1627.173957,82,22049,220
197,1,cfg8,2024210232237,33.28,32.29,56.87,2,1631.20889,86,21279,220
198,1,cfg8,2024210232237,33.28,32.29,56.87,2,1634.230014,76,20731,220
199,1,cfg8,2024210232237,33.28,32.29,56.87,2,1637.246789,69,20188,220
200,1,cfg8,2024210232237,33.28,32.29,56.87,2,1640.259213,86,19650,220
201,1,cfg8,2024210232237,33.28,32.29,56.87,2,1643.267286,76,19091,220
202,1,cfg8,2024210232237,33.28,32.29,56.87,2,1647.271284,63,18360,220
203,1,cfg8,2024210232237,33.28,32.29,56.87,2,1650.269208,65,17771,220
204,1,cfg8,2024210232237,33.28,32.29,56.87,2,1653.262781,62,17175,220
205,1,cfg8,2024210232237,33.28,32.29,56.87,2,1656.252004,55,16566,220
